Disease,Description
Asthma,Asthma in dogs is a respiratory condition causing difficulty in breathing due to inflamed airways.
Alopecia,"Alopecia in dogs refers to hair loss and bald patches, often caused by allergies, infections, or hormonal issues."
Anemia,Anemia in dogs is a condition where there is a decreased number of red blood cells or hemoglobin.
Arthritis,"Arthritis is the inflammation of joints in dogs, leading to pain and reduced mobility."
Cancer,Cancer in dogs is the uncontrolled growth of abnormal cells that can form tumors or spread to organs.
Carnassial Tooth Abscess,Carnassial tooth abscess is a painful dental infection affecting a major chewing tooth in dogs.
Cataracts,"Cataracts in dogs are characterized by clouding of the eye lens, leading to vision impairment."
Cherry Eye,"Cherry eye is the prolapse of a gland in a dog's third eyelid, causing a red mass in the corner of the eye."
Coccidia,"Coccidia is a parasitic infection in a dog’s intestines, often causing diarrhea."
Congestive Heart Failure,Congestive heart failure in dogs occurs when the heart cannot pump blood efficiently.
Dandruff,"Dandruff in dogs refers to flaking of skin often due to dryness, infections, or allergies."
Degenerative Myelopathy,"Degenerative myelopathy is a progressive disease of the spinal cord in older dogs, causing hind limb weakness."
Demodectic Mange,Demodectic mange is a skin disease in dogs caused by Demodex mites leading to hair loss and skin infection.
Ear Infection,"Ear infection in dogs involves inflammation of the ear canal, often caused by bacteria or yeast."
Ear Mites,"Ear mites are tiny parasites that infest a dog's ear canals, causing itching and discomfort."
Ehrlichiosis,Ehrlichiosis is a bacterial infection transmitted by ticks that affects a dog’s blood cells.
Elbow Dysplasia,Elbow dysplasia is a developmental condition causing abnormal growth of the elbow joint in dogs.
Fibrosarcoma,Fibrosarcoma is a malignant tumor of fibrous connective tissues found in dogs.
Flea Allergy Dermatitis,Flea allergy dermatitis is an allergic reaction to flea bites causing intense itching and skin irritation in dogs.
Gastric Torsion,"Gastric torsion, or bloat, is a life-threatening condition where a dog's stomach twists."
Gingivitis,Gingivitis in dogs is inflammation of the gums usually caused by plaque and tartar buildup.
Glaucoma,Glaucoma is a condition where increased pressure inside the eye leads to pain and vision loss in dogs.
Heartworm,Heartworm disease is a serious condition caused by parasites living in the heart and lungs of dogs.
Hemangiosarcoma,Hemangiosarcoma is an aggressive cancer originating in the blood vessels of dogs.
High Blood Pressure,High blood pressure (hypertension) in dogs can lead to organ damage and other health issues.
Hip Dysplasia,Hip dysplasia is a genetic condition in dogs where the hip joint develops abnormally.
Hookworm,Hookworm infection in dogs is caused by parasitic worms that live in the intestines and cause anemia.
Hot Spots,Hot spots are localized areas of skin inflammation and infection in dogs.
Hyperthyroidism,Hyperthyroidism in dogs is a rare condition where the thyroid gland produces excessive hormones.
Hypothyroidism,Hypothyroidism is a common endocrine disorder in dogs where the thyroid gland is underactive.
Kennel Cough,Kennel cough is a highly contagious respiratory disease in dogs causing a persistent cough.
Keratoconjunctivitis Sicca,Keratoconjunctivitis sicca (dry eye) is a condition where dogs produce insufficient tears.
Liver Disease,Liver disease in dogs involves damage to the liver and can affect digestion and metabolism.
Liver Shunt,"Liver shunt is a congenital defect where blood bypasses the liver, leading to toxin buildup in dogs."
Lyme Disease,Lyme disease in dogs is a bacterial infection transmitted by ticks.
Nuclear Sclerosis,Nuclear sclerosis is a normal aging change where the dog’s eye lens becomes cloudy.
Otitis Externa,"Otitis externa is the inflammation of the outer ear canal in dogs, often due to infection."
Parvo,Parvo is a highly contagious viral disease in dogs causing severe gastrointestinal symptoms.
Patellar Luxation,Patellar luxation is the dislocation of the kneecap in dogs.
Periodontitis,Periodontitis is a serious gum infection that damages the soft tissue and destroys bone in dogs.
Periapical Abscess,Periapical abscess is an infection at the root of a tooth causing swelling and pain in dogs.
Proliferating Gum Disease,Proliferating gum disease in dogs involves abnormal overgrowth of gum tissues.
Pruritus,"Pruritus is severe itching in dogs caused by allergies, parasites, or infections."
Pyoderma,"Pyoderma is a bacterial skin infection in dogs causing redness, pus, and discomfort."
Rabies,Rabies is a fatal viral disease that affects the central nervous system of dogs.
Ringworm,"Ringworm is a contagious fungal infection affecting a dog's skin, hair, and nails."
Roundworm,Roundworms are parasitic worms that infect a dog’s intestines causing digestive problems.
Sarcoptic Mange,Sarcoptic mange is a contagious skin disease in dogs caused by Sarcoptes mites.
Sebaceous Adenitis,Sebaceous adenitis is an autoimmune skin disease affecting the oil glands in dogs.
Spondylosis,Spondylosis is a degenerative disease affecting the spine of aging dogs.
Tapeworm,Tapeworm is a parasitic infection in dogs that affects the intestines and causes weight loss.
Upper Respiratory Infection,"Upper respiratory infection in dogs affects the nose, throat, and lungs causing coughing and sneezing."
Vestibular Disorder,"Vestibular disorder is a condition that affects balance in dogs, causing dizziness and coordination issues."
Von Willebrand's Disease,Von Willebrand's disease is a genetic bleeding disorder found in some dogs.
Whipworm,Whipworm infection in dogs affects the intestines and can cause bloody diarrhea and weight loss.
