Disease,Diet
Asthma,"['Omega-3 fatty acids', 'Antioxidants', 'Lean proteins', 'Fresh fruits and vegetables', 'Grain-free diet']"
Alopecia,"['High-protein diet', 'Omega-3 fatty acids', 'Zinc-rich foods', 'Vitamin A-rich foods', 'Biotin supplements']"
Anemia,"['Iron-rich foods', 'Vitamin B12', 'Folic acid', 'Lean meats', 'Leafy greens']"
Arthritis,"['Omega-3 fatty acids', 'Glucosamine and chondroitin', 'Antioxidant-rich foods', 'Low-calorie diet', 'Joint supplements']"
Cancer,"['High-protein diet', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Easily digestible foods', 'Low-carbohydrate diet']"
Carnassial Tooth Abscess,"['Soft foods', 'High-protein diet', 'Vitamin C-rich foods', 'Anti-inflammatory foods', 'Hydration-focused diet']"
Cataracts,"['Vitamin A-rich foods', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Low-sugar diet', 'Fresh vegetables']"
Cherry Eye,"['Vitamin C-rich foods', 'Omega-3 fatty acids', 'Hydration-focused diet', 'Anti-inflammatory foods', 'Immune-boosting foods']"
Coccidia,"['Bland diet', 'Easily digestible foods', 'High-fluid foods', 'Probiotics', 'Low-fat diet']"
Congestive Heart Failure,"['Low-sodium diet', 'Omega-3 fatty acids', 'Lean proteins', 'Complex carbohydrates', 'Fresh fruits and vegetables']"
Dandruff,"['Omega-3 fatty acids', 'Zinc-rich foods', 'Biotin supplements', 'Vitamin E-rich foods', 'Hydration-focused diet']"
Degenerative Myelopathy,"['Antioxidant-rich foods', 'Omega-3 fatty acids', 'Vitamin E', 'High-protein diet', 'Low-fat diet']"
Demodectic Mange,"['Balanced diet', 'Zinc-rich foods', 'Vitamin A-rich foods', 'Omega-3 fatty acids', 'Immune-boosting foods']"
Ear Infection,"['Balanced diet', 'Omega-3 fatty acids', 'Probiotics', 'Anti-inflammatory foods', 'Low-allergen foods']"
Ear Mites,"['Omega-3 fatty acids', 'Vitamin C-rich foods', 'Immune-boosting foods', 'Low-allergen diet', 'Hydration-focused diet']"
Ehrlichiosis,"['Iron-rich foods', 'High-protein diet', 'Vitamin B-rich foods', 'Antioxidant-rich foods', 'Immune-boosting foods']"
Elbow Dysplasia,"['Joint supplements', 'Omega-3 fatty acids', 'Low-calorie diet', 'Lean proteins', 'Anti-inflammatory foods']"
Fibrosarcoma,"['High-protein diet', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Low-carbohydrate diet', 'Easily digestible foods']"
Flea Allergy Dermatitis,"['Omega-3 fatty acids', 'Low-allergen diet', 'Antioxidant-rich foods', 'Vitamin E-rich foods', 'Balanced diet']"
Gastric Torsion,"['Small frequent meals', 'Low-fat diet', 'Easily digestible foods', 'Probiotics', 'Grain-free diet']"
Gingivitis,"['Soft foods', 'Vitamin C-rich foods', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Hydration-focused diet']"
Glaucoma,"['Low-sodium diet', 'Vitamin A-rich foods', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Fresh vegetables']"
Heartworm,"['High-protein diet', 'Omega-3 fatty acids', 'Low-sodium diet', 'Fresh fruits and vegetables', 'Balanced diet']"
Hemangiosarcoma,"['High-protein diet', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Low-carbohydrate diet', 'Easily digestible foods']"
High Blood Pressure,"['Low-sodium diet', 'Omega-3 fatty acids', 'Fresh fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hip Dysplasia,"['Joint supplements', 'Omega-3 fatty acids', 'Lean proteins', 'Low-calorie diet', 'Anti-inflammatory foods']"
Hookworm,"['Iron-rich foods', 'High-protein diet', 'Vitamin B12', 'Folic acid', 'Hydration-focused diet']"
Hot Spots,"['Omega-3 fatty acids', 'Low-allergen diet', 'Vitamin E-rich foods', 'Probiotics', 'Hydration-focused diet']"
Hyperthyroidism,"['High-protein diet', 'Low-carbohydrate diet', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Hydration-focused diet']"
Hypothyroidism,"['Low-fat diet', 'High-fiber foods', 'Lean proteins', 'Omega-3 fatty acids', 'Vitamin-rich foods']"
Kennel Cough,"['Bland diet', 'Soft foods', 'Immune-boosting foods', 'Hydration-focused diet', 'Vitamin C-rich foods']"
Keratoconjunctivitis Sicca,"['Vitamin A-rich foods', 'Omega-3 fatty acids', 'Hydration-focused diet', 'Antioxidant-rich foods', 'Low-sodium diet']"
Liver Disease,"['Low-protein diet', 'Low-sodium diet', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Fresh vegetables']"
Liver Shunt,"['Low-protein diet', 'High-quality carbohydrates', 'Omega-3 fatty acids', 'Vitamin-rich foods', 'Fresh fruits and vegetables']"
Lyme Disease,"['High-protein diet', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Anti-inflammatory foods', 'Hydration-focused diet']"
Nuclear Sclerosis,"['Vitamin A-rich foods', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Fresh vegetables', 'Low-sodium diet']"
Otitis Externa,"['Low-allergen diet', 'Omega-3 fatty acids', 'Vitamin C-rich foods', 'Anti-inflammatory foods', 'Hydration-focused diet']"
Parvo,"['Bland diet', 'High-fluid foods', 'Probiotics', 'Easily digestible foods', 'Hydration-focused diet']"
Patellar Luxation,"['Joint supplements', 'Omega-3 fatty acids', 'Lean proteins', 'Low-calorie diet', 'Anti-inflammatory foods']"
Periodontitis,"['Soft foods', 'Vitamin C-rich foods', 'Omega-3 fatty acids', 'Hydration-focused diet', 'Balanced diet']"
Periapical Abscess,"['Soft foods', 'Anti-inflammatory foods', 'Vitamin C-rich foods', 'High-protein diet', 'Hydration-focused diet']"
Proliferating Gum Disease,"['Soft foods', 'Vitamin C-rich foods', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Hydration-focused diet']"
Pruritus,"['Low-allergen diet', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Probiotics', 'Vitamin E-rich foods']"
Pyoderma,"['Omega-3 fatty acids', 'Antioxidant-rich foods', 'Vitamin E-rich foods', 'Probiotics', 'Hydration-focused diet']"
Rabies,"['Balanced diet', 'Hydration-focused diet', 'Immune-boosting foods', 'High-protein diet', 'Fresh vegetables']"
Ringworm,"['Antifungal diet', 'Vitamin A-rich foods', 'Omega-3 fatty acids', 'Probiotics', 'Hydration-focused diet']"
Roundworm,"['High-protein diet', 'Fiber-rich foods', 'Probiotics', 'Hydration-focused diet', 'Vitamin-rich foods']"
Sarcoptic Mange,"['Balanced diet', 'Omega-3 fatty acids', 'Vitamin A-rich foods', 'Probiotics', 'Hydration-focused diet']"
Sebaceous Adenitis,"['Omega-3 fatty acids', 'Vitamin A-rich foods', 'Zinc-rich foods', 'Antioxidant-rich foods', 'Hydration-focused diet']"
Spondylosis,"['Joint supplements', 'Omega-3 fatty acids', 'Lean proteins', 'Low-calorie diet', 'Anti-inflammatory foods']"
Tapeworm,"['High-protein diet', 'Fiber-rich foods', 'Probiotics', 'Hydration-focused diet', 'Low-fat diet']"
Upper Respiratory Infection,"['Bland diet', 'Hydration-focused diet', 'Vitamin C-rich foods', 'Immune-boosting foods', 'Soft foods']"
Vestibular Disorder,"['Balanced diet', 'Omega-3 fatty acids', 'Hydration-focused diet', 'Fresh vegetables', 'Low-sodium diet']"
Von Willebrand's Disease,"['Iron-rich foods', 'Vitamin K-rich foods', 'Lean proteins', 'Antioxidant-rich foods', 'Hydration-focused diet']"
Whipworm,"['High-protein diet', 'Iron-rich foods', 'Fiber-rich foods', 'Hydration-focused diet', 'Vitamin-rich foods']"
